file,frame,backend,noise_sigma,roi_size,n_gt_daughters,n_pred_daughters,mother_precision,mother_recall,mother_f1,mother_accuracy,mother_iou,daughter_precision,daughter_recall,daughter_f1,daughter_accuracy,daughter_iou,combined_precision,combined_recall,combined_f1,combined_accuracy,combined_iou,daughter_obj_precision,daughter_obj_recall,daughter_obj_f1,daughter_obj_accuracy,tp_objects,fp_objects,fn_objects
Experiment-1324.czi,256,watershed,0.0,full,0,0,0.9327622469546928,1.0,0.9652115757376528,0.9858948432760364,0.9327622469546928,1.0,1.0,1.0,1.0,0.0,0.9327622469546928,1.0,0.9652115757376528,0.9858948432760364,0.9327622469546928,1.0,1.0,1.0,0.0,0,0,0
Experiment-1324.czi,256,active_contour,0.0,full,0,0,0.9327622469546928,1.0,0.9652115757376528,0.9858948432760364,0.9327622469546928,1.0,1.0,1.0,1.0,0.0,0.9327622469546928,1.0,0.9652115757376528,0.9858948432760364,0.9327622469546928,1.0,1.0,1.0,0.0,0,0,0
Experiment-1324.czi,256,stardist,0.0,full,0,1,0.9327622469546928,1.0,0.9652115757376528,0.9858948432760364,0.9327622469546928,0.0,1.0,0.0,0.9173821123265006,0.0,0.9274790867898223,1.0,0.9623752528848653,0.9846998805037228,0.9274790867898223,0.0,1.0,0.0,0.0,0,1,0
Experiment-1324.czi,256,cellpose,0.0,full,0,0,0.9327622469546928,1.0,0.9652115757376528,0.9858948432760364,0.9327622469546928,1.0,1.0,1.0,1.0,0.0,0.9327622469546928,1.0,0.9652115757376528,0.9858948432760364,0.9327622469546928,1.0,1.0,1.0,0.0,0,0,0
Experiment-1324.czi,342,watershed,0.0,full,0,0,0.9371163920052159,0.9996162885510096,0.9673578797126844,0.9870714220056991,0.9367794134172379,1.0,1.0,1.0,1.0,0.0,0.9371163920052159,0.9996162885510096,0.9673578797126844,0.9870714220056991,0.9367794134172379,1.0,1.0,1.0,0.0,0,0,0
Experiment-1324.czi,342,active_contour,0.0,full,0,2,0.9371163920052159,0.9996162885510096,0.9673578797126844,0.9870714220056991,0.9367794134172379,0.0,1.0,0.0,0.9705671477157827,0.0,0.9362323397947037,0.9996162885510096,0.9668866491144643,0.9868783895578638,0.9358959965871073,0.0,1.0,0.0,0.0,0,2,0
Experiment-1324.czi,342,stardist,0.0,full,0,1,0.9371163920052159,0.9996162885510096,0.9673578797126844,0.9870714220056991,0.9367794134172379,0.0,1.0,0.0,0.9276587921683979,0.0,0.9370953237410072,0.9996162885510096,0.9673466545986213,0.9870668259950363,0.9367583603020496,0.0,1.0,0.0,0.0,0,1,0
Experiment-1324.czi,342,cellpose,0.0,full,0,0,0.9371163920052159,0.9996162885510096,0.9673578797126844,0.9870714220056991,0.9367794134172379,1.0,1.0,1.0,1.0,0.0,0.9371163920052159,0.9996162885510096,0.9673578797126844,0.9870714220056991,0.9367794134172379,1.0,1.0,1.0,0.0,0,0,0
Experiment-1325.czi,0,watershed,0.0,full,0,0,0.9378681658342106,1.0,0.9679380490060101,0.9789810268533673,0.9378681658342106,1.0,1.0,1.0,1.0,0.0,0.9378681658342106,1.0,0.9679380490060101,0.9789810268533673,0.9378681658342106,1.0,1.0,1.0,0.0,0,0,0
Experiment-1325.czi,0,active_contour,0.0,full,0,0,0.9378681658342106,1.0,0.9679380490060101,0.9789810268533673,0.9378681658342106,1.0,1.0,1.0,1.0,0.0,0.9378681658342106,1.0,0.9679380490060101,0.9789810268533673,0.9378681658342106,1.0,1.0,1.0,0.0,0,0,0
